gongsha	phrase-prefix
gongshan	phrase-prefix
gongshang	phrase-prefix
gongshangy	phrase-prefix
gongshangye	phrase-prefix
gongshangyej	phrase-prefix
gongshangyeji	phrase-prefix
gongshangyejie	phrase-full
gongsi	phrase-prefix
gongsih	phrase-prefix
gongsihu	phrase-prefix
gongsihuo	phrase-full
gongx	phrase-prefix
gongxu	phrase-prefix
gongxup	phrase-prefix
gongxupi	phrase-prefix
gongxupin	phrase-prefix
gongxuping	phrase-prefix
gongxupingh	phrase-prefix
gongxupinghe	phrase-prefix
gongxupinghen	phrase-prefix
gongxupingheng	phrase-full
gongy	phrase-prefix
gongya	phrase-prefix
gongyan	phrase-prefix
gongyang	phrase-full
gongz	phrase-prefix
gongzh	phrase-prefix
gongzhe	phrase-prefix
gongzhey	phrase-prefix
gongzheya	phrase-prefix
gongzheyao	phrase-full
gonh	adjacent-key
gou	adjacent-key,phrase-prefix,syllable,transposed-letters
goub	phrase-prefix
goubu	phrase-prefix
goubun	phrase-prefix
goubune	phrase-prefix
goubunen	phrase-prefix
goubuneng	phrase-full
gous	phrase-prefix
goush	phrase-prefix
goushi	phrase-full
goux	phrase-prefix
gouxi	phrase-prefix
gouxia	phrase-prefix
gouxiao	phrase-full
gouxu	phrase-full
gouz	phrase-prefix
gouza	phrase-prefix
gouzao	phrase-full
goy	adjacent-key
gp	phrase-initial
gpai	phrase-mixed
gpaixying	phrase-mixed
gpian	phrase-mixed
gpng	adjacent-key
gpns	phrase-initial
gpu	adjacent-key
gpunshu	phrase-mixed
gpxy	phrase-initial
gq	phrase-initial
gqi	phrase-mixed
gqu	phrase-mixed
gquanxnai	phrase-mixed
gqxn	phrase-initial
gr	adjacent-key,phrase-initial
granz	phrase-mixed
grbj	phrase-initial
gri	adjacent-key
grn	adjacent-key
grng	adjacent-key
groubji	phrase-mixed
gru	phrase-mixed
grz	phrase-initial
gs	adjacent-key,phrase-initial
gsdlj	phrase-initial
gsh	phrase-initial
gshangyjie	phrase-mixed
gshawlun	phrase-mixed
gsheng	phrase-mixed
gshi	phrase-mixed
gshou	phrase-mixed
gshuij	phrase-mixed
gshuy	phrase-mixed
gsi	adjacent-key,phrase-mixed
gsidlij	phrase-mixed
gsih	phrase-mixed
gsj	phrase-initial
gsn	adjacent-key
gsng	adjacent-key
gso	adjacent-key
gsong	phrase-mixed
gsui	phrase-mixed
gswl	phrase-initial
gsy	phrase-initial
gsyj	phrase-initial
gt	phrase-initial
gtad	phrase-mixed
gtao	phrase-mixed
gtd	phrase-initial
gtongs	phrase-mixed
gts	phrase-initial
gu	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
gua	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
guab	adjacent-key
guabg	adjacent-key
guag	missing-letter
guagn	transposed-letters
guah	phrase-prefix
guahe	phrase-prefix
guahen	phrase-full
guai	adjacent-key,phrase-prefix,syllable
guail	phrase-prefix
guaile	phrase-full
guaix	phrase-prefix
guaixi	phrase-prefix
guaixia	phrase-prefix
guaixial	phrase-prefix
guaixiala	phrase-prefix
guaixialai	phrase-full
guaiz	phrase-prefix
guaizo	phrase-prefix
guaizou	phrase-full
gual	phrase-prefix
guali	phrase-prefix
gualia	phrase-prefix
gualian	phrase-full
guam	adjacent-key,phrase-prefix
guamg	adjacent-key
guamu	phrase-prefix
guamus	phrase-prefix
guamush	phrase-prefix
guamushi	phrase-prefix
guamushiz	phrase-prefix
guamushizh	phrase-prefix
guamushizhi	phrase-full
guan	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
guanc	phrase-prefix
guanch	phrase-prefix
guancha	phrase-full,phrase-prefix
guanchas	phrase-prefix
guanchasu	phrase-prefix
guanchasuo	phrase-full
guanf	adjacent-key
guang	adjacent-key,phrase-prefix,syllable
guangb	phrase-prefix
guangbo	phrase-full
guangd	phrase-prefix
guangda	phrase-full
guangg	phrase-prefix
guangga	phrase-prefix
guanggao	phrase-prefix
guanggaos	phrase-prefix
guanggaosh	phrase-prefix
guanggaosha	phrase-prefix
guanggaoshan	phrase-prefix
guanggaoshang	phrase-full
guangl	phrase-prefix
guangle	phrase-full
guango	phrase-prefix
guangon	phrase-prefix
guangong	phrase-full
guangq	phrase-prefix
guangqu	phrase-prefix
guangqua	phrase-prefix
guangquan	phrase-prefix
guangquanx	phrase-prefix
guangquanxi	phrase-prefix
guangquanxia	phrase-prefix
guangquanxian	phrase-prefix
guangquanxiann	phrase-prefix
guangquanxianna	phrase-prefix
guangquanxiannai	phrase-full
guangu	phrase-prefix
guangua	phrase-prefix
guanguan	phrase-prefix
guanguang	phrase-prefix
guanguangj	phrase-prefix
guanguangju	phrase-full
guangw	phrase-prefix
guangwu	phrase-prefix
guangwug	phrase-prefix
guangwugu	phrase-prefix
guangwuguo	phrase-prefix
guangwuguox	phrase-prefix
guangwuguoxi	phrase-prefix
guangwuguoxia	phrase-prefix
guangwuguoxiao	phrase-full
guangx	phrase-prefix
guangxu	phrase-prefix
guangxue	phrase-prefix
guangxueb	phrase-prefix
guangxuebo	phrase-prefix
guangxuebol	phrase-prefix
guangxueboli	phrase-full
guangxun	phrase-prefix
guangxuni	phrase-prefix
guangxunia	phrase-prefix
guangxunian	phrase-prefix
guangxunianj	phrase-prefix
guangxunianji	phrase-prefix
guangxunianjia	phrase-prefix
guangxunianjian	phrase-full
guanh	adjacent-key
guanj	phrase-prefix
guanji	phrase-prefix
guanjia	phrase-full
guanm	phrase-prefix
guanmi	phrase-prefix
guanmin	phrase-prefix
guanming	phrase-full
guanq	phrase-prefix
guanqi	phrase-full
guant	phrase-prefix
guanta	phrase-prefix
guantad	phrase-prefix
guantade	phrase-full
guantao	phrase-full
guanx	phrase-prefix
guanxi	phrase-prefix
guanxir	phrase-prefix
guanxire	phrase-prefix
guanxiren	phrase-full
guanz	phrase-prefix
guanzh	phrase-prefix
guanzhu	phrase-prefix
guanzhua	phrase-prefix
guanzhuan	phrase-prefix
guanzhuang	phrase-full,phrase-prefix
guanzhuangb	phrase-prefix
guanzhuangbi	phrase-prefix
guanzhuangbin	phrase-prefix
guanzhuangbing	phrase-prefix
guanzhuangbingd	phrase-prefix
guanzhuangbingdu	phrase-full
guao	adjacent-key
guau	adjacent-key
gub	adjacent-key,phrase-prefix
gube	phrase-prefix
guben	phrase-full
guc	phrase-prefix
guci	phrase-full
gud	phrase-prefix
guda	phrase-prefix
gudao	phrase-full
guh	phrase-prefix
guhu	phrase-prefix
guhua	phrase-full
gui	adjacent-key,missing-letter,phrase-prefix,syllable
guia	transposed-letters
guih	phrase-prefix
guihu	phrase-prefix
guihua	phrase-full,phrase-prefix
guihuac	phrase-prefix
guihuach	phrase-prefix
guihuacha	phrase-full
guim	phrase-prefix
guimo	phrase-full
guis	phrase-prefix
guisu	phrase-prefix
guisui	phrase-full
guiy	phrase-prefix
guiya	phrase-prefix
guiyan	phrase-prefix
guiyang	phrase-full
gul	phrase-prefix
guli	phrase-full
gum	adjacent-key,phrase-prefix
gumi	phrase-prefix
gumin	phrase-prefix
guming	phrase-full
gun	adjacent-key,missing-letter,syllable
guna	transposed-letters
gunag	transposed-letters
gung	missing-letter
guo	adjacent-key,phrase-prefix,syllable,transposed-letters
guoe	phrase-prefix
guoer	phrase-prefix
guoerx	phrase-prefix
guoerxi	phrase-prefix
guoerxia	phrase-full
guog	phrase-prefix
guogo	phrase-prefix
guogon	phrase-prefix
guogong	phrase-full
guoj	phrase-prefix
guoji	phrase-prefix
guojia	phrase-prefix
guojiaz	phrase-prefix
guojiazh	phrase-prefix
guojiazhi	phrase-prefix
guojiazhid	phrase-prefix
guojiazhidu	phrase-full
guojim	phrase-prefix
guojima	phrase-prefix
guojimao	phrase-prefix
guojimaoy	phrase-prefix
guojimaoyi	phrase-full
guol	phrase-prefix
guola	phrase-prefix
guolai	phrase-prefix
guolair	phrase-prefix
guolaire	phrase-prefix
guolairen	phrase-full
guoli	phrase-prefix
guolis	phrase-prefix
guolish	phrase-prefix
guolishi	phrase-prefix
guolishie	phrase-prefix
guolishier	phrase-prefix
guolishiery	phrase-prefix
guolishieryu	phrase-prefix
guolishieryue	phrase-full
guon	phrase-prefix
guona	phrase-prefix
guonan	phrase-full
guoq	phrase-prefix
guoqi	phrase-full
guor	phrase-prefix
guora	phrase-prefix
guoran	phrase-prefix
guoranz	phrase-prefix
guoranza	phrase-prefix
guoranzai	phrase-full
guoru	phrase-full
guos	phrase-prefix
guosh	phrase-prefix
guoshu	phrase-prefix
guoshui	phrase-prefix
guoshuij	phrase-prefix
guoshuiju	phrase-full
guoshuy	phrase-prefix
guoshuya	phrase-prefix
guoshuyao	phrase-full
guoz	phrase-prefix
guozh	phrase-prefix
guozha	phrase-prefix
guozhai	phrase-full
gup	adjacent-key,phrase-prefix
gupa	phrase-prefix
gupai	phrase-full,phrase-prefix
gupaix	phrase-prefix
gupaixi	phrase-prefix
gupaixia	phrase-prefix
gupaixiao	phrase-prefix
gupaixiaoy	phrase-prefix
gupaixiaoyi	phrase-prefix
gupaixiaoyin	phrase-prefix
gupaixiaoying	phrase-full
gus	adjacent-key
gusi	adjacent-key
gusn	adjacent-key
gusng	adjacent-key
gut	phrase-prefix
guto	phrase-prefix
guton	phrase-prefix
gutong	phrase-prefix
gutongs	phrase-prefix
gutongse	phrase-full
guu	adjacent-key
guw	phrase-prefix
guwe	phrase-prefix
guwen	phrase-prefix
guwent	phrase-prefix
guwenti	phrase-full
guy	phrase-prefix
guyu	phrase-prefix
guyua	phrase-prefix
guyuan	phrase-prefix
guyuanz	phrase-prefix
guyuanzh	phrase-prefix
guyuanzha	phrase-prefix
guyuanzhan	phrase-prefix
guyuanzhang	phrase-full
gw	adjacent-key,phrase-initial
gwang	phrase-mixed
gwei	phrase-mixed
gwent	phrase-mixed
gwgx	phrase-initial
gwi	adjacent-key
gwn	adjacent-key
gwng	adjacent-key
gwt	phrase-initial
gwugxiao	phrase-mixed
gx	phrase-initial
gxbl	phrase-initial
gxial	phrase-mixed
gxiao	phrase-mixed
gxietzheng	phrase-mixed
gxiezfangz	phrase-mixed
gxingqlai	phrase-mixed
gxir	phrase-mixed
gxl	phrase-initial
gxnj	phrase-initial
gxph	phrase-initial
gxqj	phrase-initial
gxql	phrase-initial
gxr	phrase-initial
gxtz	phrase-initial
gxu	phrase-mixed
gxuanqjing	phrase-mixed
gxuebli	phrase-mixed
gxunjian	phrase-mixed
gxupheng	phrase-mixed
gxzfz	phrase-initial
gy	adjacent-key,phrase-initial
gya	adjacent-key
gyai	adjacent-key
gyan	adjacent-key
gyang	adjacent-key,phrase-mixed
gyi	adjacent-key,phrase-mixed
gyn	adjacent-key
gyo	adjacent-key
gyouschang	phrase-mixed
gysc	phrase-initial
gyuan	phrase-mixed
gyuanz	phrase-mixed
gyun	phrase-mixed
gyz	phrase-initial
gz	phrase-initial
gzai	phrase-mixed
gzaid	phrase-mixed
gzaix	phrase-mixed
gzao	phrase-mixed
gzbd	phrase-initial
gzd	phrase-initial
gzhai	phrase-mixed
gzhenwyou	phrase-mixed
gzhey	phrase-mixed
gzhez	phrase-mixed
gzhi	phrase-mixed
gzhuang	phrase-mixed
gzhuangbdu	phrase-mixed
gzi	phrase-mixed
gzou	phrase-mixed
gzwy	phrase-initial
gzx	phrase-initial
gzy	phrase-initial
gzz	phrase-initial
h	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
ha	adjacent-key,missing-letter,phrase-initial,phrase-prefix,syllable,syllable-prefix
hab	adjacent-key
habg	adjacent-key
hag	missing-letter
hagl	phrase-initial
hagn	transposed-letters
hai	adjacent-key,missing-letter,phrase-prefix,syllable
haia	phrase-prefix
haian	phrase-prefix
haiang	phrase-prefix
haiango	phrase-prefix
haiangon	phrase-prefix
haiangong	phrase-prefix
haiangongl	phrase-prefix
haiangonglu	phrase-full
haic	phrase-prefix
haich	phrase-prefix
haicho	phrase-prefix
haichon	phrase-prefix
haichong	phrase-full
haid	phrase-prefix
haide	phrase-full
haij	phrase-prefix
haiji	phrase-prefix
haijin	phrase-prefix
haijing	phrase-full
hain	phrase-prefix
haina	phrase-prefix
hainan	phrase-full
haiw	phrase-prefix
haiwe	phrase-prefix
haiwei	phrase-full
haiy	phrase-prefix
haiyu	phrase-prefix
haiyun	phrase-full
ham	adjacent-key
hamg	adjacent-key
han	adjacent-key,missing-letter,phrase-mixed,phrase-prefix,syllable,syllable-prefix
hand	phrase-prefix
handa	phrase-prefix
handai	phrase-full
hanf	adjacent-key
hang	adjacent-key,missing-letter,phrase-prefix,syllable
hangk	phrase-prefix
hangko	phrase-prefix
hangkon	phrase-prefix
hangkong	phrase-prefix
hangkongj	phrase-prefix
hangkongji	phrase-prefix
hangkongjia	phrase-prefix
hangkongjian	phrase-full
hanglu	phrase-mixed
hangx	phrase-prefix
hangxi	phrase-prefix
hangxia	phrase-prefix
hangxian	phrase-full
hanh	adjacent-key,phrase-prefix
hanhu	phrase-prefix
hanhun	phrase-prefix
hanhunb	phrase-prefix
hanhunbu	phrase-prefix
hanhunbuq	phrase-prefix
hanhunbuqi	phrase-prefix
hanhunbuqin	phrase-prefix
hanhunbuqing	phrase-full
hanm	phrase-prefix
hanma	phrase-prefix
hanmao	phrase-full
hans	phrase-prefix
hansh	phrase-prefix
hansha	phrase-prefix
hanshan	phrase-prefix
hanshans	phrase-prefix
hanshansi	phrase-full
hanshi	phrase-full
hany	phrase-prefix
hanyu	phrase-prefix
hanyua	phrase-prefix
hanyuan	phrase-full
hanz	phrase-prefix
hanzh	phrase-prefix
hanzhe	phrase-prefix
hanzhen	phrase-prefix
hanzhenz	phrase-prefix
hanzhenzh	phrase-prefix
hanzhenzhi	phrase-prefix
hanzhenzhik	phrase-prefix
hanzhenzhike	phrase-full
hao	adjacent-key,missing-letter,phrase-prefix,syllable
haob	phrase-prefix
haobu	phrase-full,phrase-prefix
haobut	phrase-prefix
haobutu	phrase-prefix
haobutuo	phrase-prefix
haobutuox	phrase-prefix
haobutuoxi	phrase-prefix
haobutuoxie	phrase-full
haop	phrase-prefix
haopa	phrase-prefix
haopai	phrase-full
haos	phrase-prefix
haosh	phrase-prefix
haoshi	phrase-prefix
haoshid	phrase-prefix
haoshidu	phrase-prefix
haoshiduo	phrase-prefix
haoshiduoq	phrase-prefix
haoshiduoqi	phrase-prefix
haoshiduoqia	phrase-prefix
haoshiduoqian	phrase-full
haosi	phrase-full
hap	adjacent-key
haq	phrase-prefix
haqi	phrase-prefix
haqia	phrase-prefix
haqian	phrase-full
hau	adjacent-key,transposed-letters
haui	transposed-letters
haun	transposed-letters
haung	transposed-letters
hb	phrase-initial
hbany	phrase-mixed
hbanzyu	phrase-mixed
hbing	phrase-mixed
hbqf	phrase-initial
hbtx	phrase-initial
hbu	phrase-mixed
hbuqfan	phrase-mixed
hbutxie	phrase-mixed
hby	phrase-initial
hbzy	phrase-initial
hc	phrase-initial
hca	transposed-letters
hcai	transposed-letters
hcan	transposed-letters
hcang	transposed-letters
hcao	transposed-letters
hce	transposed-letters
hcen	transposed-letters
hceng	transposed-letters
hche	phrase-mixed
hchengt	phrase-mixed
hchi	phrase-mixed
hchong	phrase-mixed
hchul	phrase-mixed
hci	phrase-mixed,transposed-letters
hcl	phrase-initial
hcong	transposed-letters
hcou	transposed-letters
hct	phrase-initial
hcu	transposed-letters
hcua	transposed-letters
hcuai	transposed-letters
hcuan	transposed-letters
hcuang	transposed-letters
hcui	transposed-letters
hcun	transposed-letters
hcuo	transposed-letters
hd	phrase-initial
hdai	phrase-mixed
hdannrou	phrase-mixed
hdcg	phrase-initial
hde	phrase-mixed
hdegxiao	phrase-mixed
hdgx	phrase-initial
hdiecgu	phrase-mixed
hding	phrase-mixed
hdnr	phrase-initial
hdou	phrase-mixed
he	adjacent-key,missing-letter,phrase-initial,phrase-mixed,phrase-prefix,syllable,syllable-prefix
heb	adjacent-key
hebg	adjacent-key
hec	phrase-prefix
hech	phrase-prefix
heche	phrase-prefix
hechen	phrase-prefix
hecheng	phrase-prefix
hechengt	phrase-prefix
hechengti	phrase-full
hechi	phrase-full
heci	phrase-full
hed	phrase-prefix
hedi	phrase-prefix
hedin	phrase-prefix
heding	phrase-full
hef	phrase-prefix
hefa	phrase-prefix
hefan	phrase-prefix
hefang	phrase-full
heg	missing-letter,phrase-prefix
hega	phrase-prefix
hegai	phrase-full
hegn	transposed-letters
hei	adjacent-key,missing-letter,phrase-prefix,syllable
heid	phrase-prefix
heido	phrase-prefix
heidou	phrase-full
heim	phrase-prefix
heimi	phrase-prefix
heimia	phrase-prefix
heimian	phrase-prefix
heimianp	phrase-prefix
heimianpi	phrase-prefix
heimianpil	phrase-prefix
heimianpilu	phrase-full
heit	phrase-prefix
heita	phrase-prefix
heitao	phrase-full
hej	phrase-prefix
heji	phrase-prefix
hejie	phrase-full
hel	phrase-prefix
hela	phrase-prefix
helan	phrase-prefix
helanr	phrase-prefix
helanre	phrase-prefix
helanren	phrase-full
hem	adjacent-key
hemg	adjacent-key
hen	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
henf	adjacent-key
heng	adjacent-key,missing-letter,phrase-prefix,syllable
hengm	phrase-prefix
hengme	phrase-prefix
hengmei	phrase-prefix
hengmeid	phrase-prefix
hengmeide	phrase-prefix
hengmeiden	phrase-prefix
hengmeideng	phrase-prefix
hengmeidengy	phrase-prefix
hengmeidengya	phrase-prefix
hengmeidengyan	phrase-full
henh	adjacent-key
heny	phrase-prefix
henyo	phrase-prefix
henyou	phrase-full
heo	adjacent-key
hes	phrase-prefix
hesh	phrase-prefix
heshi	phrase-prefix
heshil	phrase-prefix
heshila	phrase-prefix
heshilao	phrase-full
heu	adjacent-key
hew	phrase-prefix
hewe	phrase-prefix
hewei	phrase-prefix
heweig	phrase-prefix
heweigu	phrase-prefix
heweigui	phrase-full
hey	phrase-prefix
heyi	phrase-full,phrase-prefix
heyin	phrase-full
hez	phrase-prefix
hezi	phrase-prefix
hezid	phrase-prefix
hezido	phrase-prefix
hezidon	phrase-prefix
hezidong	phrase-prefix
hezidongl	phrase-prefix
hezidongli	phrase-prefix
hezidongliq	phrase-prefix
hezidongliqi	phrase-prefix
hezidongliqia	phrase-prefix
hezidongliqian	phrase-prefix
hezidongliqiant	phrase-prefix
hezidongliqianti	phrase-prefix
hezidongliqiantin	phrase-prefix
hezidongliqianting	phrase-full
heziq	phrase-prefix
heziqi	phrase-prefix
heziqia	phrase-prefix
heziqian	phrase-prefix
heziqiant	phrase-prefix
heziqianti	phrase-prefix
heziqiantin	phrase-prefix
heziqianting	phrase-full
hf	phrase-initial
hfang	phrase-mixed
hfen	phrase-mixed
hfu	phrase-mixed
hg	phrase-initial
hgai	phrase-mixed
hge	phrase-mixed
hgl	phrase-initial
hgongx	phrase-mixed
hguol	phrase-mixed
hgx	phrase-initial
hh	phrase-initial
hhang	phrase-mixed
hhao	phrase-mixed
hhb	phrase-initial
hhbq	phrase-initial
hhei	phrase-mixed
hhejgou	phrase-mixed
hhjg	phrase-initial
hhuab	phrase-mixed
hhunbqing	phrase-mixed
hi	adjacent-key,missing-letter
hia	adjacent-key,transposed-letters
hiai	adjacent-key
hian	adjacent-key
hiang	adjacent-key
hiao	adjacent-key
hie	adjacent-key,transposed-letters
hii	adjacent-key
hin	adjacent-key
hing	adjacent-key
hio	adjacent-key
hiong	adjacent-key
hiu	adjacent-key,transposed-letters
hj	phrase-initial
hjiangj	phrase-mixed
hjiao	phrase-mixed
hjie	phrase-mixed
hjing	phrase-mixed
hjj	phrase-initial
hkaolchi	phrase-mixed
hkj	phrase-initial
hklc	phrase-initial
hkongj	phrase-mixed
hl	phrase-initial
hlanr	phrase-mixed
hle	phrase-mixed
hli	phrase-mixed
hlpybqq	phrase-initial
hlr	phrase-initial
hluopyangbquanq	phrase-mixed
hm	phrase-initial
hmao	phrase-mixed
hmdy	phrase-initial
hmeidyan	phrase-mixed
hmeix	phrase-mixed
hmianplu	phrase-mixed
hmpl	phrase-initial
hmx	phrase-initial
hn	missing-letter,phrase-initial
hna	transposed-letters
hnag	transposed-letters
hnan	phrase-mixed
hne	transposed-letters
hneg	transposed-letters
hng	missing-letter
hnog	transposed-letters
hnu	transposed-letters
ho	missing-letter,phrase-prefix,syllable-prefix
hoa	transposed-letters
hobg	adjacent-key
hog	missing-letter
hogn	transposed-letters
hoi	adjacent-key
homg	adjacent-key
hon	missing-letter,phrase-prefix,syllable-prefix
honf	adjacent-key
hong	adjacent-key,missing-letter,phrase-prefix,syllable
hongc	phrase-prefix
hongch	phrase-prefix
hongchu	phrase-prefix
hongchul	phrase-prefix
hongchula	phrase-prefix
hongchulai	phrase-full
hongs	phrase-prefix
hongsh	phrase-prefix
hongsha	phrase-prefix
hongshao	phrase-prefix
hongshaor	phrase-prefix
hongshaoro	phrase-prefix
hongshaorou	phrase-full
hongx	phrase-prefix
hongxu	phrase-prefix
hongxun	phrase-full
hongz	phrase-prefix
hongzh	phrase-prefix
hongzhi	phrase-full
honh	adjacent-key
hou	adjacent-key,missing-letter,phrase-prefix,syllable,transposed-letters
houb	phrase-prefix
houba	phrase-prefix
houban	phrase-prefix
houbany	phrase-prefix
houbanye	phrase-full
houd	phrase-prefix
houde	phrase-prefix
houdeg	phrase-prefix
houdegu	phrase-prefix
houdeguo	phrase-prefix
houdeguox	phrase-prefix
houdeguoxi	phrase-prefix
houdeguoxia	phrase-prefix
houdeguoxiao	phrase-full
houf	phrase-prefix
houfe	phrase-prefix
houfen	phrase-full
hout	phrase-prefix
houto	phrase-prefix
houtou	phrase-full
houtu	phrase-prefix
houtui	phrase-full
houw	phrase-prefix
houwa	phrase-prefix
houwan	phrase-prefix
houwang	phrase-full
houz	phrase-prefix
houzh	phrase-prefix
houzha	phrase-prefix
houzhao	phrase-prefix
houzhaoj	phrase-prefix
houzhaoji	phrase-prefix
houzhaojin	phrase-prefix
houzhaojing	phrase-full
houzho	phrase-prefix
houzhon	phrase-prefix
houzhong	phrase-full
hoy	adjacent-key
hp	phrase-initial
hpai	phrase-mixed
hpng	adjacent-key
hpu	adjacent-key
hq	phrase-initial
hqian	phrase-mixed
hr	adjacent-key
hri	adjacent-key
hrn	adjacent-key
hrng	adjacent-key
hs	adjacent-key,phrase-initial
hsa	transposed-letters
hsai	transposed-letters
hsan	transposed-letters
hsang	transposed-letters
hsao	transposed-letters
hsdq	phrase-initial
hse	phrase-mixed,transposed-letters
hsei	transposed-letters
hsen	transposed-letters
hseng	transposed-letters
hset	phrase-mixed
hshang	phrase-mixed
hshans	phrase-mixed
hshaor	phrase-mixed
hshi	phrase-mixed
hshidqian	phrase-mixed
hshil	phrase-mixed
hshuan	phrase-mixed
hsi	adjacent-key,phrase-mixed,transposed-letters
hsir	phrase-mixed
hsl	phrase-initial
hsn	adjacent-key
hsng	adjacent-key
hso	adjacent-key
hsou	transposed-letters
hsr	phrase-initial
hss	phrase-initial
hst	phrase-initial
hsu	transposed-letters
hsua	transposed-letters
hsuai	transposed-letters
hsuan	transposed-letters
hsuang	transposed-letters
hsui	transposed-letters
hsun	transposed-letters
hsuo	transposed-letters
ht	phrase-initial
htao	phrase-mixed
htis	phrase-mixed
htong	phrase-mixed
htou	phrase-mixed
hts	phrase-initial
htu	phrase-mixed
htui	phrase-mixed
htuz	phrase-mixed
htz	phrase-initial
hu	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
hua	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
huab	adjacent-key
huabg	adjacent-key
huad	phrase-prefix
huada	phrase-prefix
huadan	phrase-prefix
huadann	phrase-prefix
huadanni	phrase-prefix
huadanniu	phrase-prefix
huadanniur	phrase-prefix
huadanniuro	phrase-prefix
huadanniurou	phrase-full
huag	missing-letter,phrase-prefix
huagn	transposed-letters
huago	phrase-prefix
huagon	phrase-prefix
huagong	phrase-prefix
huagongx	phrase-prefix
huagongxi	phrase-full
huai	adjacent-key,missing-letter,phrase-prefix,syllable
huaie	phrase-full
huaj	phrase-prefix
huaji	phrase-prefix
huajie	phrase-full
huam	adjacent-key
huamg	adjacent-key
huan	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
huanb	phrase-prefix
huanbi	phrase-prefix
huanbin	phrase-prefix
huanbing	phrase-full
huanf	adjacent-key
huang	adjacent-key,missing-letter,phrase-prefix,syllable
huangd	phrase-prefix
huangdi	phrase-prefix
huangdie	phrase-prefix
huangdiec	phrase-prefix
huangdiecu	phrase-prefix
huangdiecui	phrase-prefix
huangdiecuig	phrase-prefix
huangdiecuigu	phrase-full
huange	phrase-full
huangg	phrase-prefix
huanggu	phrase-prefix
huangguo	phrase-prefix
huangguol	phrase-prefix
huangguolu	phrase-prefix
huangguolun	phrase-full
huangl	phrase-prefix
huangle	phrase-full
huangm	phrase-prefix
huangme	phrase-prefix
huangmei	phrase-prefix
huangmeix	phrase-prefix
huangmeixi	phrase-full
huangs	phrase-prefix
huangse	phrase-prefix
huangset	phrase-prefix
huangseti	phrase-prefix
huangsetia	phrase-prefix
huangsetiao	phrase-full
huangt	phrase-prefix
huangti	phrase-prefix
huangtis	phrase-prefix
huangtisu	phrase-full
huangz	phrase-prefix
huangzh	phrase-prefix
huangzha	phrase-prefix
huangzhan	phrase-prefix
huangzhang	phrase-full
huangzho	phrase-prefix
huangzhon	phrase-prefix
huangzhong	phrase-prefix
huangzhongh	phrase-prefix
huangzhonghu	phrase-prefix
huangzhonghui	phrase-prefix
huangzhonghuiq	phrase-prefix
huangzhonghuiqi	phrase-full
huanh	adjacent-key
huanj	phrase-prefix
huanji	phrase-prefix
huanjia	phrase-prefix
huanjian	phrase-prefix
huanjiang	phrase-prefix
huanjiangj	phrase-prefix
huanjiangji	phrase-full
huanx	phrase-prefix
huanxi	phrase-prefix
huanxia	phrase-prefix
huanxian	phrase-prefix
huanxiang	phrase-prefix
huanxiangq	phrase-prefix
huanxiangqi	phrase-full
huany	phrase-prefix
huanyu	phrase-prefix
huanyua	phrase-prefix
huanyuan	phrase-prefix
huanyuanm	phrase-prefix
huanyuanme	phrase-prefix
huanyuanmei	phrase-full
huao	adjacent-key
huas	phrase-prefix
huash	phrase-prefix
huasha	phrase-prefix
huashan	phrase-prefix
huashang	phrase-full
huau	adjacent-key
huax	phrase-prefix
huaxu	phrase-prefix
huaxue	phrase-prefix
huaxuex	phrase-prefix
huaxuexi	phrase-prefix
huaxuexin	phrase-prefix
huaxuexing	phrase-full
huay	phrase-prefix
huaya	phrase-prefix
huayaf	phrase-prefix
huayafe	phrase-prefix
huayafen	phrase-prefix
huayafenh	phrase-prefix
huayafenhu	phrase-prefix
huayafenhua	phrase-full
huayi	phrase-prefix
huayin	phrase-prefix
huaying	phrase-full
huayu	phrase-prefix
huayua	phrase-prefix
huayuan	phrase-full
hub	adjacent-key,phrase-prefix
hubu	phrase-prefix
hubuq	phrase-prefix
hubuqi	phrase-prefix
hubuqin	phrase-prefix
hubuqinf	phrase-prefix
hubuqinfa	phrase-prefix
hubuqinfan	phrase-full
hue	adjacent-key
huh	phrase-prefix
huha	phrase-prefix
huhao	phrase-full
hui	adjacent-key,missing-letter,phrase-prefix,syllable
huia	transposed-letters
huib	phrase-prefix
huiba	phrase-prefix
huiban	phrase-prefix
huibanz	phrase-prefix
huibanzu	phrase-prefix
huibanzuy	phrase-prefix
huibanzuyu	phrase-full
huif	phrase-prefix
huifu	phrase-full
huih	phrase-prefix
huiha	phrase-prefix
huihan	phrase-prefix
huihang	phrase-full
huihe	phrase-prefix
huihei	phrase-full
huihu	phrase-prefix
huihua	phrase-prefix
huihuab	phrase-prefix
huihuaba	phrase-prefix
huihuaban	phrase-full
huit	phrase-prefix
huito	phrase-prefix
huiton	phrase-prefix
huitong	phrase-full
huiw	phrase-prefix
