input	hiragana	katakana	consumed
futsugo	ふつご	フツゴ	0
futsugou	ふつごう	フツゴウ	0
futsuka	ふつか	フツカ	0
futsuriai	ふつりあい	フツリアイ	0
futsuu	ふつう	フツウ	0
futsuusenkyo	ふつうせんきょ	フツウセンキョ	0
futsuuyokin	ふつうよきん	フツウヨキン	0
futtobooru	ふっとぼおる	フットボオル	0
futtou	ふっとう	フットウ	0
futtowaaku	ふっとわあく	フットワアク	0
futu	ふつ	フツ	0
fuu	ふう	フウ	0
fuubutsushi	ふうぶつし	フウブツシ	0
fuuchou	ふうちょう	フウチョウ	0
fuudo	ふうど	フウド	0
fuufu	ふうふ	フウフ	0
fuuga	ふうが	フウガ	0
fuujiru	ふうじる	フウジル	0
fuujite	ふうじて	フウジテ	0
fuukaku	ふうかく	フウカク	0
fuukei	ふうけい	フウケイ	0
fuuki	ふうき	フウキ	0
fuukuikku	ふうくいっく	フウクイック	0
fuumi	ふうみ	フウミ	0
fuun	ふうん	フウン	0
fuur	ふう	フウ	3
fuurin	ふうりん	フウリン	0
fuury	ふう	フウ	3
fuuryoku	ふうりょく	フウリョク	0
fuuryu	ふうりゅ	フウリュ	0
fuuryuu	ふうりゅう	フウリュウ	0
fuuryuukurakku	ふうりゅうくらっく	フウリュウクラック	0
fuusa	ふうさ	フウサ	0
fuusen	ふうせん	フウセン	0
fuushi	ふうし	フウシ	0
fuusho	ふうしょ	フウショ	0
fuushuu	ふうしゅう	フウシュウ	0
fuusoku	ふうそく	フウソク	0
fuutou	ふうとう	フウトウ	0
fuuu	ふうう	フウウ	0
fuuun	ふううん	フウウン	0
fuuzoku	ふうぞく	フウゾク	0
fuwa	ふわ	フワ	0
fuwafuwa	ふわふわ	フワフワ	0
fuwari	ふわり	フワリ	0
fuwatari	ふわたり	フワタリ	0
fuyasu	ふやす	フヤス	0
fuyo	ふよ	フヨ	0
fuyou	ふよう	フヨウ	0
fuyoui	ふようい	フヨウイ	0
fuyu	ふゆ	フユ	0
fuyuba	ふゆば	フユバ	0
fuyukai	ふゆかい	フユカイ	0
fuyumono	ふゆもの	フユモノ	0
fuyuu	ふゆう	フユウ	0
fuyuyasumi	ふゆやすみ	フユヤスミ	0
fuz	ふ	フ	2
fuza	ふざ	フザ	0
fuzai	ふざい	フザイ	0
fuzais	ふざい	フザイ	5
fuzaish	ふざい	フザイ	5
fuzaisha	ふざいしゃ	フザイシャ	0
fuzaishat	ふざいしゃ	フザイシャ	8
fuzaishato	ふざいしゃと	フザイシャト	0
fuzaishatou	ふざいしゃとう	フザイシャトウ	0
fuzaishatouh	ふざいしゃとう	フザイシャトウ	11
fuzaishatouhy	ふざいしゃとう	フザイシャトウ	11
fuzaishatouhyo	ふざいしゃとうひょ	フザイシャトウヒョ	0
fuzaishatouhyou	ふざいしゃとうひょう	フザイシャトウヒョウ	0
fuzaishatouhyougichou	ふざいしゃとうひょうぎちょう	フザイシャトウヒョウギチョウ	0
fuzakeru	ふざける	フザケル	0
fuzei	ふぜい	フゼイ	0
fuzen	ふぜん	フゼン	0
fuzoku	ふぞく	フゾク	0
fwa	ふぁ	ファ	0
fwatwa	ふぁとぁ	ファトァ	0
fwe	ふぇ	フェ	0
fwetwe	ふぇとぇ	フェトェ	0
fwi	ふぃ	フィ	0
fwitwi	ふぃとぃ	フィトィ	0
fwo	ふぉ	フォ	0
fwotwo	ふぉとぉ	フォトォ	0
fwu	ふぅ	フゥ	0
fwutwu	ふぅとぅ	フゥトゥ	0
fy			0
fya	ふゃ	フャ	0
fyatya	ふゃちゃ	フャチャ	0
fye	ふぇ	フェ	0
fyea	ふぇあ	フェア	0
fyeapuree	ふぇあぷれえ	フェアプレエ	0
fyeauei	ふぇあうえい	フェアウエイ	0
fyed	ふぇ	フェ	3
fyede	ふぇで	フェデ	0
fyeder	ふぇで	フェデ	5
fyedere	ふぇでれ	フェデレ	0
fyederee	ふぇでれえ	フェデレエ	0
fyederees	ふぇでれえ	フェデレエ	8
fyedereesh	ふぇでれえ	フェデレエ	8
fyedereesho	ふぇでれえしょ	フェデレエショ	0
fyedereeshon	ふぇでれえしょん	フェデレエション	0
fyedereeshonshoumei	ふぇでれえしょんしょうめい	フェデレエションショウメイ	0
fyeiku	ふぇいく	フェイク	0
fyeinto	ふぇいんと	フェイント	0
fyeisu	ふぇいす	フェイス	0
fyeminisuto	ふぇみにすと	フェミニスト	0
fyeminizumu	ふぇみにずむ	フェミニズム	0
fyenikkusu	ふぇにっくす	フェニックス	0
fyenshingu	ふぇんしんぐ	フェンシング	0
fyensu	ふぇんす	フェンス	0
fyerachio	ふぇらちお	フェラチオ	0
fyeretto	ふぇれっと	フェレット	0
fyerii	ふぇりい	フェリイ	0
fyeromon	ふぇろもん	フェロモン	0
fyerooshippu	ふぇろおしっぷ	フェロオシップ	0
fyeruto	ふぇると	フェルト	0
fyesuteibaru	ふぇすていばる	フェステイバル	0
fyetye	ふぇちぇ	フェチェ	0
fyi	ふぃ	フィ	0
fyianse	ふぃあんせ	フィアンセ	0
fyifuteiifyifuteii	ふぃふていいふぃふていい	フィフテイイフィフテイイ	0
fyigyua	ふぃぎゅあ	フィギュア	0
fyiibaa	ふぃいばあ	フィイバア	0
fyiida	ふぃいだ	フィイダ	0
fyiidobakku	ふぃいどばっく	フィイドバック	0
fyiiringu	ふぃいりんぐ	フィイリング	0
fyiirudo	ふぃいるど	フィイルド	0
fyiirudowaaku	ふぃいるどわあく	フィイルドワアク	0
fyiito	ふぃいと	フィイト	0
fyikusaa	ふぃくさあ	フィクサア	0
fyikushon	ふぃくしょん	フィクション	0
fyin	ふぃん	フィン	0
fyinakappu	ふぃなかっぷ	フィナカップ	0
fyinisshu	ふぃにっしゅ	フィニッシュ	0
fyinrando	ふぃんらんど	フィンランド	0
fyiraderufyia	ふぃらでるふぃあ	フィラデルフィア	0
fyiripin	ふぃりぴん	フィリピン	0
fyiru	ふぃる	フィル	0
fyirudaasuchoisu	ふぃるだあすちょいす	フィルダアスチョイス	0
fyiruhaamonii	ふぃるはあもにい	フィルハアモニイ	0
fyirumu	ふぃるむ	フィルム	0
fyirutaa	ふぃるたあ	フィルタア	0
fyisshu	ふぃっしゅ	フィッシュ	0
fyisukaruporishii	ふぃすかるぽりしい	フィスカルポリシイ	0
fyit	ふぃ	フィ	3
fyitt	ふぃ	フィ	3
fyitteingu	ふぃっていんぐ	フィッテイング	0
fyitto	ふぃっと	フィット	0
fyittonesu	ふぃっとねす	フィットネス	0
fyittoshoubousha	ふぃっとしょうぼうしゃ	フィットショウボウシャ	0
fyityi	ふぃちぃ	フィチィ	0
fyiyorudo	ふぃよるど	フィヨルド	0
fyo	ふょ	フョ	0
fyotyo	ふょちょ	フョチョ	0
fyu	ふゅ	フュ	0
fyutyu	ふゅちゅ	フュチュ	0
fyuuchaa	ふゅうちゃあ	フュウチャア	0
fyuujon	ふゅうじょん	フュウジョン	0
g			0
ga	が	ガ	0
gaa	があ	ガア	0
gaadeian	があでいあん	ガアデイアン	0
gaaden	があでん	ガアデン	0
gaado	があど	ガアド	0
gaadoman	があどまん	ガアドマン	0
gaadoreeru	があどれえる	ガアドレエル	0
gaar	があ	ガア	3
gaaru	がある	ガアル	0
gaaruf	がある	ガアル	5
gaarufu	があるふ	ガアルフ	0
gaarufur	があるふ	ガアルフ	7
gaarufure	があるふれ	ガアルフレ	0
gaarufuren	があるふれん	ガアルフレン	0
gaarufurend	があるふれん	ガアルフレン	10
gaarufurendo	があるふれんど	ガアルフレンド	0
gaarufurendokokusaiteki	があるふれんどこくさいてき	ガアルフレンドコクサイテキ	0
gaaze	があぜ	ガアゼ	0
gabotto	がぼっと	ガボット	0
gabugabu	がぶがぶ	ガブガブ	0
gachi	がち	ガチ	0
gagaku	ががく	ガガク	0
gahaku	がはく	ガハク	0
gai	がい	ガイ	0
gaiatsu	がいあつ	ガイアツ	0
gaibu	がいぶ	ガイブ	0
gaichuu	がいちゅう	ガイチュウ	0
gaidansu	がいだんす	ガイダンス	0
gaiden	がいでん	ガイデン	0
gaido	がいど	ガイド	0
gaidobukku	がいどぶっく	ガイドブック	0
gaien	がいえん	ガイエン	0
gaiheki	がいへき	ガイヘキ	0
gaijin	がいじん	ガイジン	0
gaiju	がいじゅ	ガイジュ	0
gaik	がい	ガイ	3
gaika	がいか	ガイカ	0
gaikai	がいかい	ガイカイ	0
gaikaku	がいかく	ガイカク	0
gaikakudantai	がいかくだんたい	ガイカクダンタイ	0
gaikan	がいかん	ガイカン	0
gaikanchouonsoku	がいかんちょうおんそく	ガイカンチョウオンソク	0
gaiken	がいけん	ガイケン	0
gaiki	がいき	ガイキ	0
gaikinmotsu	がいきんもつ	ガイキンモツ	0
gaikoku	がいこく	ガイコク	0
gaikokugo	がいこくご	ガイコクゴ	0
gaikokujin	がいこくじん	ガイコクジン	0
gaikotsu	がいこつ	ガイコツ	0
gaikou	がいこう	ガイコウ	0
gaikoukan	がいこうかん	ガイコウカン	0
gaikyou	がいきょう	ガイキョウ	0
gaim	がい	ガイ	3
gaimai	がいまい	ガイマイ	0
gaimen	がいめん	ガイメン	0
gaimu	がいむ	ガイム	0
gaimuchoudanoretsu	がいむちょうだのれつ	ガイムチョウダノレツ	0
gaimushou	がいむしょう	ガイムショウ	0
gainen	がいねん	ガイネン	0
gairai	がいらい	ガイライ	0
gairaigo	がいらいご	ガイライゴ	0
gairo	がいろ	ガイロ	0
gairoju	がいろじゅ	ガイロジュ	0
gairon	がいろん	ガイロン	0
gairyaku	がいりゃく	ガイリャク	0
gaisan	がいさん	ガイサン	0
gaisensha	がいせんしゃ	ガイセンシャ	0
gaisha	がいしゃ	ガイシャ	0
gaishi	がいし	ガイシ	0
gaishin	がいしん	ガイシン	0
gaishoku	がいしょく	ガイショク	0
gaishou	がいしょう	ガイショウ	0
gaishutsu	がいしゅつ	ガイシュツ	0
gaisuru	がいする	ガイスル	0
gaitou	がいとう	ガイトウ	0
gaiya	がいや	ガイヤ	0
gaiyashu	がいやしゅ	ガイヤシュ	0
gaiyou	がいよう	ガイヨウ	0
gaiyuu	がいゆう	ガイユウ	0
gajetto	がじぇっと	ガジェット	0
gajou	がじょう	ガジョウ	0
gak	が	ガ	2
gaka	がか	ガカ	0
gake	がけ	ガケ	0
gakk	が	ガ	2
gakka	がっか	ガッカ	0
gakkai	がっかい	ガッカイ	0
gakkaishi	がっかいし	ガッカイシ	0
gakkar	がっか	ガッカ	5
gakkari	がっかり	ガッカリ	0
gakkarikentou	がっかりけんとう	ガッカリケントウ	0
gakki	がっき	ガッキ	0
gakkou	がっこう	ガッコウ	0
gakkouhoujin	がっこうほうじん	ガッコウホウジン	0
gakkoumei	がっこうめい	ガッコウメイ	0
gakku	がっく	ガック	0
gakkuri	がっくり	ガックリ	0
gakkyoku	がっきょく	ガッキョク	0
gakkyuu	がっきゅう	ガッキュウ	0
gaku	がく	ガク	0
gakubu	がくぶ	ガクブ	0
gakubuchi	がくぶち	ガクブチ	0
gakuchou	がくちょう	ガクチョウ	0
gakudan	がくだん	ガクダン	0
gakudou	がくどう	ガクドウ	0
gakuen	がくえん	ガクエン	0
gakufu	がくふ	ガクフ	0
gakugei	がくげい	ガクゲイ	0
gakugyou	がくぎょう	ガクギョウ	0
gakuhi	がくひ	ガクヒ	0
gakui	がくい	ガクイ	0
gakuin	がくいん	ガクイン	0
gakujutsu	がくじゅつ	ガクジュツ	0
gakumen	がくめん	ガクメン	0
gakumon	がくもん	ガクモン	0
gakunai	がくない	ガクナイ	0
gakunen	がくねん	ガクネン	0
gakurei	がくれい	ガクレイ	0
gakureki	がくれき	ガクレキ	0
gakuryoku	がくりょく	ガクリョク	0
gakus	がく	ガク	4
gakusai	がくさい	ガクサイ	0
gakusei	がくせい	ガクセイ	0
gakuseijidai	がくせいじだい	ガクセイジダイ	0
gakusetsu	がくせつ	ガクセツ	0
gakush	がく	ガク	4
gakusha	がくしゃ	ガクシャ	0
gakushi	がくし	ガクシ	0
gakushik	がくし	ガクシ	7
gakushiki	がくしき	ガクシキ	0
gakushikitoorisugiru	がくしきとおりすぎる	ガクシキトオリスギル	0
gakushou	がくしょう	ガクショウ	0
gakushuu	がくしゅう	ガクシュウ	0
gakushuushidouyouryou	がくしゅうしどうようりょう	ガクシュウシドウヨウリョウ	0
gakusotsu	がくそつ	ガクソツ	0
gakutai	がくたい	ガクタイ	0
gakuto	がくと	ガクト	0
gakuwari	がくわり	ガクワリ	0
gakuya	がくや	ガクヤ	0
gakuyuu	がくゆう	ガクユウ	0
gam	が	ガ	2
gama	がま	ガマ	0
gaman	がまん	ガマン	0
gamanchikoku	がまんちこく	ガマンチコク	0
gamen	がめん	ガメン	0
gameran	がめらん	ガメラン	0
gamu	がむ	ガム	0
gan	がん	ガン	0
ganban	がんばん	ガンバン	0
ganbari	がんばり	ガンバリ	0
ganbaru	がんばる	ガンバル	0
ganbatte	がんばって	ガンバッテ	0
ganbou	がんぼう	ガンボウ	0
ganchiku	がんちく	ガンチク	0
ganen	がねん	ガネン	0
gangan	がんがん	ガンガン	0
ganjitsu	がんじつ	ガンジツ	0
ganjou	がんじょう	ガンジョウ	0
ganka	がんか	ガンカ	0
gankai	がんかい	ガンカイ	0
gankin	がんきん	ガンキン	0
ganko	がんこ	ガンコ	0
gankyou	がんきょう	ガンキョウ	0
ganma	がんま	ガンマ	0
ganmen	がんめん	ガンメン	0
gannen	がんねん	ガンネン	0
ganpeki	がんぺき	ガンペキ	0
ganpon	がんぽん	ガンポン	0
ganrai	がんらい	ガンライ	0
ganseki	がんせき	ガンセキ	0
gansho	がんしょ	ガンショ	0
ganshou	がんしょう	ガンショウ	0
ganso	がんそ	ガンソ	0
gantan	がんたん	ガンタン	0
gany	が	ガ	2
ganyu	がにゅ	ガニュ	0
ganyuu	がにゅう	ガニュウ	0
ganyuutokai	がにゅうとかい	ガニュウトカイ	0
gappei	がっぺい	ガッペイ	0
gappeishou	がっぺいしょう	ガッペイショウ	0
gappi	がっぴ	ガッピ	0
gar	が	ガ	2
gara	がら	ガラ	0
garakuta	がらくた	ガラクタ	0
garan	がらん	ガラン	0
garantsuya	がらんつや	ガランツヤ	0
garas	がら	ガラ	4
garasu	がらす	ガラス	0
garasub	がらす	ガラス	6
garasuba	がらすば	ガラスバ	0
garasubar	がらすば	ガラスバ	8
garasubari	がらすばり	ガラスバリ	0
garasubarikokuminsouseisan	がらすばりこくみんそうせいさん	ガラスバリコクミンソウセイサン	0
garasudo	がらすど	ガラスド	0
gareeji	がれえじ	ガレエジ	0
gareki	がれき	ガレキ	0
garibaa	がりばあ	ガリバア	0
garireo	がりれお	ガリレオ	0
gariumu	がりうむ	ガリウム	0
garon	がろん	ガロン	0
garou	がろう	ガロウ	0
garu	がる	ガル	0
gas	が	ガ	2
gasagasa	がさがさ	ガサガサ	0
gashi	がし	ガシ	0
gashigashi	がしがし	ガシガシ	0
gashou	がしょう	ガショウ	0
gasooru	がそおる	ガソオル	0
gasorin	がそりん	ガソリン	0
gasorinsutando	がそりんすたんど	ガソリンスタンド	0
gass	が	ガ	2
gassaku	がっさく	ガッサク	0
gasshiri	がっしり	ガッシリ	0
gasshou	がっしょう	ガッショウ	0
gasshoudan	がっしょうだん	ガッショウダン	0
gasshuku	がっしゅく	ガッシュク	0
gasso	がっそ	ガッソ	0
gassou	がっそう	ガッソウ	0
gassouboumei	がっそうぼうめい	ガッソウボウメイ	0
gasu	がす	ガス	0
gasubonbe	がすぼんべ	ガスボンベ	0
gasumasuku	がすますく	ガスマスク	0
gasutaabin	がすたあびん	ガスタアビン	0
gasutoarubaitaa	がすとあるばいたあ	ガストアルバイタア	0
gatagata	がたがた	ガタガタ	0
gatchi	が	ガ	2
gatchiri	が	ガ	2
gaten	がてん	ガテン	0
gatsu	がつ	ガツ	0
gatto	がっと	ガット	0
gattsu	がっつ	ガッツ	0
gattsupoozu	がっつぽおず	ガッツポオズ	0
gau	がう	ガウ	0
gaun	がうん	ガウン	0
gaushian	がうしあん	ガウシアン	0
gawa	がわ	ガワ	0
gayagaya	がやがや	ガヤガヤ	0
gayoushi	がようし	ガヨウシ	0
gazou	がぞう	ガゾウ	0
ge	げ	ゲ	0
gebarisuta	げばりすた	ゲバリスタ	0
gee	げえ	ゲエ	0
geej	げえ	ゲエ	3
geeji	げえじ	ゲエジ	0
geejimatsuru	げえじまつる	ゲエジマツル	0
geemu	げえむ	ゲエム	0
geemusentaa	げえむせんたあ	ゲエムセンタア	0
geemusetto	げえむせっと	ゲエムセット	0
geeto	げえと	ゲエト	0
geetobooru	げえとぼおる	ゲエトボオル	0
gehin	げひん	ゲヒン	0
gei	げい	ゲイ	0
geigeki	げいげき	ゲイゲキ	0
geigou	げいごう	ゲイゴウ	0
geihinkan	げいひんかん	ゲイヒンカン	0
geijutsu	げいじゅつ	ゲイジュツ	0
geijutsuin	げいじゅついん	ゲイジュツイン	0
geijutsuka	げいじゅつか	ゲイジュツカ	0
geijutsusai	げいじゅつさい	ゲイジュツサイ	0
geimei	げいめい	ゲイメイ	0
gein	げいん	ゲイン	0
geiniku	げいにく	ゲイニク	0
geinin	げいにん	ゲイニン	0
geinou	げいのう	ゲイノウ	0
geinoujin	げいのうじん	ゲイノウジン	0
geiribu	げいりぶ	ゲイリブ	0
geisha	げいしゃ	ゲイシャ	0
gejun	げじゅん	ゲジュン	0
gek	げ	ゲ	2
geka	げか	ゲカ	0
gekai	げかい	ゲカイ	0
geki	げき	ゲキ	0
gekichin	げきちん	ゲキチン	0
gekidan	げきだん	ゲキダン	0
gekido	げきど	ゲキド	0
gekidou	げきどう	ゲキドウ	0
gekiga	げきが	ゲキガ	0
gekigen	げきげん	ゲキゲン	0
gekihen	げきへん	ゲキヘン	0
gekijin	げきじん	ゲキジン	0
gekijou	げきじょう	ゲキジョウ	0
gekika	げきか	ゲキカ	0
gekir	げき	ゲキ	4
gekirei	げきれい	ゲキレイ	0
gekiron	げきろん	ゲキロン	0
gekiry	げき	ゲキ	4
gekiryu	げきりゅ	ゲキリュ	0
gekiryuu	げきりゅう	ゲキリュウ	0
gekiryuuaitsu	げきりゅうあいつ	ゲキリュウアイツ	0
gekisaku	げきさく	ゲキサク	0
gekisen	げきせん	ゲキセン	0
gekiteki	げきてき	ゲキテキ	0
gekitotsu	げきとつ	ゲキトツ	0
gekitsui	げきつい	ゲキツイ	0
gekiyaku	げきやく	ゲキヤク	0
gekkan	げっかん	ゲッカン	0
gekkei	げっけい	ゲッケイ	0
gekkou	げっこう	ゲッコウ	0
gekkyuu	げっきゅう	ゲッキュウ	0
geko	げこ	ゲコ	0
gen	げん	ゲン	0
genan	げなん	ゲナン	0
genba	げんば	ゲンバ	0
genbaku	げんばく	ゲンバク	0
genbatsu	げんばつ	ゲンバツ	0
genbun	げんぶん	ゲンブン	0
genbutsu	げんぶつ	ゲンブツ	0
genchi	げんち	ゲンチ	0
gendai	げんだい	ゲンダイ	0
gendaishakai	げんだいしゃかい	ゲンダイシャカイ	0
gendaiteki	げんだいてき	ゲンダイテキ	0
gendankai	げんだんかい	ゲンダンカイ	0
gendo	げんど	ゲンド	0
gendogaku	げんどがく	ゲンドガク	0
gendou	げんどう	ゲンドウ	0
gendouryoku	げんどうりょく	ゲンドウリョク	0
genei	げねい	ゲネイ	0
geneki	げねき	ゲネキ	0
genetsu	げねつ	ゲネツ	0
geng	げん	ゲン	3
genga	げんが	ゲンガ	0
gengak	げんが	ゲンガ	5
gengakki	げんがっき	ゲンガッキ	0
gengaku	げんがく	ゲンガク	0
gengakufuhitsuyou	げんがくふひつよう	ゲンガクフヒツヨウ	0
gengi	げんぎ	ゲンギ	0
gengo	げんご	ゲンゴ	0
gengou	げんごう	ゲンゴウ	0
gengoufunare	げんごうふなれ	ゲンゴウフナレ	0
genin	げにん	ゲニン	0
genji	げんじ	ゲンジ	0
genjin	げんじん	ゲンジン	0
genjiten	げんじてん	ゲンジテン	0
genjitsu	げんじつ	ゲンジツ	0
genjitsuteki	げんじつてき	ゲンジツテキ	0
genjou	げんじょう	ゲンジョウ	0
genjuu	げんじゅう	ゲンジュウ	0
genjuumin	げんじゅうみん	ゲンジュウミン	0
genjuusho	げんじゅうしょ	ゲンジュウショ	0
genk	げん	ゲン	3
genka	げんか	ゲンカ	0
genkai	げんかい	ゲンカイ	0
genkaku	げんかく	ゲンカク	0
genkan	げんかん	ゲンカン	0
genkashoukyaku	げんかしょうきゃく	ゲンカショウキャク	0
genkei	げんけい	ゲンケイ	0
genki	げんき	ゲンキ	0
genkin	げんきん	ゲンキン	0
genko	げんこ	ゲンコ	0
genkoku	げんこく	ゲンコク	0
genkotsu	げんこつ	ゲンコツ	0
genkou	げんこう	ゲンコウ	0
genkoufuryo	げんこうふりょ	ゲンコウフリョ	0
genkouhan	げんこうはん	ゲンコウハン	0
genkouyoushi	げんこうようし	ゲンコウヨウシ	0
genkyou	げんきょう	ゲンキョウ	0
genkyuu	げんきゅう	ゲンキュウ	0
genmai	げんまい	ゲンマイ	0
genmei	げんめい	ゲンメイ	0
genmen	げんめん	ゲンメン	0
genmetsu	げんめつ	ゲンメツ	0
genmitsu	げんみつ	ゲンミツ	0
genni	げんに	ゲンニ	0
genomu	げのむ	ゲノム	0
genpatsu	げんぱつ	ゲンパツ	0
genpon	げんぽん	ゲンポン	0
genpou	げんぽう	ゲンポウ	0
genri	げんり	ゲンリ	0
genroku	げんろく	ゲンロク	0
genron	げんろん	ゲンロン	0
genrou	げんろう	ゲンロウ	0
genryou	げんりょう	ゲンリョウ	0
genryuu	げんりゅう	ゲンリュウ	0
gens	げん	ゲン	3
gensa	げんさ	ゲンサ	0
gensak	げんさ	ゲンサ	5
gensaku	げんさく	ゲンサク	0
gensakufujichaku	げんさくふじちゃく	ゲンサクフジチャク	0
gensan	げんさん	ゲンサン	0
gensanchi	げんさんち	ゲンサンチ	0
gensei	げんせい	ゲンセイ	0
gensen	げんせん	ゲンセン	0
genshi	げんし	ゲンシ	0
genshikaku	げんしかく	ゲンシカク	0
genshiro	げんしろ	ゲンシロ	0
genshiryoku	げんしりょく	ゲンシリョク	0
gensho	げんしょ	ゲンショ	0
genshoku	げんしょく	ゲンショク	0
genshou	げんしょう	ゲンショウ	0
genshu	げんしゅ	ゲンシュ	0
genshuku	げんしゅく	ゲンシュク	0
genshuu	げんしゅう	ゲンシュウ	0
genso	げんそ	ゲンソ	0
gensoku	げんそく	ゲンソク	0
gensou	げんそう	ゲンソウ	0
gensui	げんすい	ゲンスイ	0
gensuibaku	げんすいばく	ゲンスイバク	0
gentai	げんたい	ゲンタイ	0
gentan	げんたん	ゲンタン	0
gentei	げんてい	ゲンテイ	0
genten	げんてん	ゲンテン	0
geny	げ	ゲ	2
genya	げにゃ	ゲニャ	0
genyu	げにゅ	ゲニュ	0
genyufusouou	げにゅふそうおう	ゲニュフソウオウ	0
genyuu	げにゅう	ゲニュウ	0
genzai	げんざい	ゲンザイ	0
genzairyou	げんざいりょう	ゲンザイリョウ	0
genzei	げんぜい	ゲンゼイ	0
genzou	げんぞう	ゲンゾウ	0
geppu	げっぷ	ゲップ	0
geraku	げらく	ゲラク	0
gerende	げれんで	ゲレンデ	0
geri	げり	ゲリ	0
gerira	げりら	ゲリラ	0
geru	げる	ゲル	0
geruman	げるまん	ゲルマン	0
gesha	げしゃ	ゲシャ	0
geshi	げし	ゲシ	0
geshuku	げしゅく	ゲシュク	0
geshutapo	げしゅたぽ	ゲシュタポ	0
gessan	げっさん	ゲッサン	0
gessha	げっしゃ	ゲッシャ	0
gesshoku	げっしょく	ゲッショク	0
gesshuu	げっしゅう	ゲッシュウ	0
gesui	げすい	ゲスイ	0
gesuidou	げすいどう	ゲスイドウ	0
gesuto	げすと	ゲスト	0
get	げ	ゲ	2
geta	げた	ゲタ	0
getadaini	げただいに	ゲタダイニ	0
gets	げ	ゲ	2
getsu	げつ	ゲツ	0
getsugaku	げつがく	ゲツガク	0
getsumatsu	げつまつ	ゲツマツ	0
getsumen	げつめん	ゲツメン	0
getsunai	げつない	ゲツナイ	0
getsurei	げつれい	ゲツレイ	0
getsuy	げつ	ゲツ	5
getsuyo	げつよ	ゲツヨ	0
getsuyou	げつよう	ゲツヨウ	0
getsuyoub	げつよう	ゲツヨウ	8
getsuyoubi	げつようび	ゲツヨウビ	0
getsuyoubihikoushi	げつようびひこうし	ゲツヨウビヒコウシ	0
gettoo	げっとお	ゲットオ	0
geva	げゔぁ	ゲヴァ	0
geya	げや	ゲヤ	0
gezan	げざん	ゲザン	0
gga	っが	ッガ	0
ggave	っがゔぇ	ッガヴェ	0
gge	っげ	ッゲ	0
ggevi	っげゔぃ	ッゲヴィ	0
ggi	っぎ	ッギ	0
ggivo	っぎゔぉ	ッギヴォ	0
ggo	っご	ッゴ	0
ggovu	っごゔ	ッゴヴ	0
ggu	っぐ	ッグ	0
gguvva	っぐっゔぁ	ッグッヴァ	0
ggwa	っぐぁ	ッグァ	0
ggwavve	っぐぁっゔぇ	ッグァッヴェ	0
ggwe	っぐぇ	ッグェ	0
ggwevvi	っぐぇっゔぃ	ッグェッヴィ	0
ggwi	っぐぃ	ッグィ	0
ggwivvo	っぐぃっゔぉ	ッグィッヴォ	0
ggwo	っぐぉ	ッグォ	0
ggwovvu	っぐぉっゔ	ッグォッヴ	0
ggwu	っぐぅ	ッグゥ	0
ggwuvvya	っぐぅっゔゃ	ッグゥッヴャ	0
ggya	っぎゃ	ッギャ	0
ggyavvye	っぎゃっゔぇ	ッギャッヴェ	0
ggye	っぎぇ	ッギェ	0
ggyevvyi	っぎぇっゔぃ	ッギェッヴィ	0
ggyi	っぎぃ	ッギィ	0
ggyivvyo	っぎぃっゔょ	ッギィッヴョ	0
ggyo	っぎょ	ッギョ	0
ggyovvyu	っぎょっゔゅ	ッギョッヴュ	0
ggyu	っぎゅ	ッギュ	0
ggyuvya	っぎゅゔゃ	ッギュヴャ	0
gi	ぎ	ギ	0
gia	ぎあ	ギア	0
gian	ぎあん	ギアン	0
gibo	ぎぼ	ギボ	0
gibuappu	ぎぶあっぷ	ギブアップ	0
gichou	ぎちょう	ギチョウ	0
gida	ぎだ	ギダ	0
gidai	ぎだい	ギダイ	0
gidayuu	ぎだゆう	ギダユウ	0
gienkin	ぎえんきん	ギエンキン	0
gifu	ぎふ	ギフ	0
gifuto	ぎふと	ギフト	0
giga	ぎが	ギガ	0
gigi	ぎぎ	ギギ	0
gigoku	ぎごく	ギゴク	0
gihi	ぎひ	ギヒ	0
gihou	ぎほう	ギホウ	0
giin	ぎいん	ギイン	0
giinuneiiinkai	ぎいぬねいいいんかい	ギイヌネイイインカイ	0
giji	ぎじ	ギジ	0
gijidou	ぎじどう	ギジドウ	0
gijiroku	ぎじろく	ギジロク	0
gijou	ぎじょう	ギジョウ	0
gijutsu	ぎじゅつ	ギジュツ	0
gijutsuryoku	ぎじゅつりょく	ギジュツリョク	0
gijutsusha	ぎじゅつしゃ	ギジュツシャ	0
gijutsuteki	ぎじゅつてき	ギジュツテキ	0
gik	ぎ	ギ	2
gika	ぎか	ギカ	0
gikai	ぎかい	ギカイ	0
gikaitoku	ぎかいとく	ギカイトク	0
gikei	ぎけい	ギケイ	0
giketsu	ぎけつ	ギケツ	0
gikochinai	ぎこちない	ギコチナイ	0
gikou	ぎこう	ギコウ	0
gikyoku	ぎきょく	ギキョク	0
gimai	ぎまい	ギマイ	0
gimi	ぎみ	ギミ	0
gimon	ぎもん	ギモン	0
gimonfu	ぎもんふ	ギモンフ	0
gimonten	ぎもんてん	ギモンテン	0
gimu	ぎむ	ギム	0
gimukyouiku	ぎむきょういく	ギムキョウイク	0
gimuzuke	ぎむずけ	ギムズケ	0
gin	ぎん	ギン	0
ginen	ぎねん	ギネン	0
ginga	ぎんが	ギンガ	0
